time,noun_eventive_intransitive,noun_eventive_transitive,noun_noneventive_intransitive,noun_noneventive_transitive,verb_eventive_intransitive,verb_eventive_transitive,verb_noneventive_intransitive,verb_noneventive_transitive
0.11,1.1955347681,1.1567458851,1.2232964943,1.1424986215,1.2512740554,1.1838100945,1.1397670774,1.1348233555
0.115,1.252985895,1.1194594833,1.1885841707,1.0411932476,1.219507829,1.131573249,1.1386859085,1.1515826385
0.12,1.2722144514,1.0667643854,1.1056049545,1.0603703666,1.1510212822,1.1200025339,1.1466168658,1.1419276058
0.125,1.2738696941,1.1011753693,1.1102847546,1.1374312565,1.1856408395,1.1746688488,1.1658472887,1.1269733352
0.13,1.2946651852,1.16642147,1.1674351497,1.1326673176,1.2113937177,1.2015071199,1.1949754824,1.0954791429
0.135,1.2592236268,1.1711783141,1.18975847,1.1296551148,1.1738225492,1.2096001913,1.1976573788,1.1049944145
0.14,1.1430438705,1.1111529022,1.1977953625,1.126499415,1.1171893542,1.2037200222,1.1945483152,1.1330900664
0.145,1.0399246422,1.0935956321,1.2078007592,1.0898969199,1.1089369032,1.1794267474,1.216279305,1.1700962783
0.15,1.043188733,1.1092820138,1.1805772474,1.1150901567,1.1304783442,1.1696286787,1.2663424851,1.1977657244
0.155,1.1258891855,1.1372948843,1.1303124294,1.1898673544,1.1446566402,1.1996418493,1.2801464349,1.192580071
0.16,1.2213681153,1.2168382814,1.096634994,1.2508418983,1.1495215399,1.226811355,1.2882146917,1.1911571408
0.165,1.2197191044,1.2431913756,1.0946521835,1.2741161567,1.1418107429,1.2015826314,1.3171741505,1.1969436662
0.17,1.1830699905,1.2334074328,1.1274571688,1.2322900936,1.1726542269,1.2389723973,1.3566971601,1.2009522637
0.175,1.2484776346,1.253199966,1.2129773446,1.205132507,1.2685286456,1.2813857825,1.3544171187,1.2219142046
0.18,1.3217992177,1.2423241974,1.2844355823,1.2460535758,1.361362688,1.2811213607,1.331830609,1.3009605359
0.185,1.3586311937,1.2431437416,1.3384101496,1.2913472164,1.4371847128,1.250084139,1.33743698,1.4001837638
0.19,1.3386279153,1.2511698504,1.3422829974,1.3142845327,1.4747633414,1.2244592204,1.3574479332,1.413239278
0.195,1.315084672,1.2447780273,1.3340029629,1.3038132132,1.4452352587,1.2541526552,1.3611216438,1.346249127
0.2,1.2957009217,1.2184811431,1.3208801248,1.3416957081,1.3999866977,1.3307869864,1.3028805849,1.2730740684
0.205,1.2900475302,1.2137657548,1.3012062805,1.3830929856,1.3856256295,1.3625973619,1.2586331076,1.2524639091
0.21,1.2602079986,1.2597508149,1.2301256739,1.3812644916,1.4035719638,1.308445999,1.3085175518,1.2577559347
0.215,1.243489606,1.3705002264,1.1635456876,1.3301881988,1.4400550241,1.2311836789,1.3542597266,1.3289262891
0.22,1.2979470839,1.4309504211,1.1631180563,1.2847419162,1.4850306424,1.2069910702,1.362072841,1.4215728997
0.225,1.3317915222,1.4075300562,1.2112275538,1.3074560854,1.4686320284,1.2250485983,1.3499141169,1.4237689038
0.23,1.3474259745,1.3219960271,1.2447760291,1.3375419857,1.419598494,1.25547002,1.3467973393,1.390420096
0.235,1.3555497829,1.3012461143,1.2416482826,1.3095575068,1.3772925856,1.2641316537,1.3780493983,1.4172031041
0.24,1.3329391398,1.3310303535,1.2922347225,1.3014420395,1.3507141051,1.2509860367,1.4050585694,1.4647271765
0.245,1.3219903786,1.3234979865,1.3164514465,1.2861008774,1.3777089025,1.2814879083,1.4062691433,1.4960901915
0.25,1.327943039,1.3482789946,1.2806233302,1.257763134,1.4506643614,1.3591779634,1.3914340438,1.5330195681
0.255,1.2672941221,1.3583424847,1.2658492726,1.2865848811,1.459615125,1.4034959179,1.3540406289,1.5625050735
0.26,1.2011553573,1.2963328189,1.2935485668,1.3042057321,1.3922974445,1.4017241858,1.3318358623,1.5738843467
0.265,1.2144288433,1.2592160341,1.3251362053,1.2724077138,1.3453834396,1.3998876423,1.3565405245,1.5344204266
0.27,1.2410982564,1.3022658223,1.3338639969,1.2297678885,1.3406046521,1.4225819719,1.3859706043,1.4968473953
0.275,1.2395985584,1.3428142778,1.2801277023,1.2136829824,1.3548155319,1.4101540833,1.4110920413,1.4864348615
0.28,1.2058989969,1.3304419167,1.2541763249,1.2389107072,1.3783949832,1.3574683572,1.3520193666,1.4905043827
0.285,1.1546643041,1.29903816,1.2790884178,1.2685757933,1.3631445027,1.3328758926,1.2389947277,1.4588787518
0.29,1.1708021679,1.3057189984,1.2471636983,1.2572607296,1.3233007776,1.2973089572,1.1866861885,1.381472869
0.295,1.2353330939,1.3502512034,1.1901662307,1.2390537273,1.2559132573,1.250753151,1.1970464412,1.295899451
0.3,1.2660288195,1.3789956665,1.1860763645,1.2349506936,1.2407088442,1.2976921008,1.2256085855,1.2619573563
0.305,1.2159884137,1.3712260641,1.2404079564,1.2576799334,1.2559283343,1.3646633122,1.3060285143,1.2774104012
0.31,1.1943437286,1.3829766027,1.3294970587,1.3377991961,1.2890489452,1.440122424,1.4141501708,1.3289623453
0.315,1.2008388082,1.4198623912,1.3584872584,1.3714681867,1.3199241142,1.45699184,1.5226931616,1.4038424765
0.32,1.1820285764,1.4632962879,1.3008501291,1.3004361633,1.3366013708,1.4246818641,1.5758807722,1.4627037525
0.325,1.2332431781,1.4095091706,1.2594773006,1.220135365,1.2919069855,1.3788300678,1.5511899715,1.4099196713
0.33,1.2858271246,1.2909830856,1.232513954,1.219196269,1.2021458476,1.305066272,1.4905977008,1.3129561341
0.335,1.2966829766,1.3005268984,1.2386046706,1.2532359622,1.1506007643,1.2621807584,1.4065923194,1.2649401131
0.34,1.2663834864,1.4271892995,1.2602366754,1.2771560537,1.1132270672,1.301989597,1.3060028057,1.2487068092
0.345,1.2327639287,1.4619246339,1.2220926446,1.3078486261,1.1633647843,1.3280809322,1.2647545672,1.2554968652
0.35,1.1862731656,1.3946641529,1.1927458774,1.2782097363,1.2399912983,1.2954346565,1.3326323629,1.2664073238
0.355,1.1442550228,1.3462912783,1.2414458619,1.2419638647,1.301285866,1.2971409053,1.4464499496,1.2986252232
0.36,1.1450070863,1.3087894306,1.2785882335,1.297157692,1.3383953965,1.3281079445,1.5237713605,1.4255742069
0.365,1.1411695877,1.2387356749,1.2769092809,1.3752989304,1.3290129596,1.3336376314,1.5511924284,1.515771366
0.37,1.1302298823,1.1790556075,1.2298313876,1.3980964996,1.3425368941,1.3029487877,1.5143538237,1.4911607954
0.375,1.159180473,1.1889900017,1.2111491283,1.3500207288,1.3504618608,1.3276663249,1.4614664574,1.4305338935
0.38,1.1954801945,1.2195758041,1.2226405486,1.2879555133,1.3106747964,1.3975443136,1.4326243438,1.4140435
0.385,1.1830234893,1.2325570541,1.2202477722,1.2441713086,1.3351574897,1.3991419455,1.446532156,1.4033620158
0.39,1.1708356071,1.2308661923,1.2517067831,1.2214948364,1.3719658049,1.3379960015,1.4685107678,1.4030528056
0.395,1.1905785852,1.2547392408,1.2802446409,1.2786163179,1.3955768916,1.2800244001,1.4623728896,1.4476284441
0.4,1.2365457205,1.2770490235,1.2711265137,1.3269828387,1.4222345569,1.2330058755,1.4133033967,1.5861900507
0.405,1.2705361673,1.2934936162,1.2959741323,1.3608925308,1.4241020072,1.2468745851,1.3881858982,1.6763815404
0.41,1.2716596298,1.2914008469,1.305947395,1.3981967181,1.4387598523,1.3605567117,1.4348301503,1.6257222945
0.415,1.2533751828,1.2509688244,1.2844161966,1.3941513384,1.4536100897,1.4578068283,1.4985885163,1.5267978121
0.42,1.2192549933,1.2571930806,1.281574811,1.3277149314,1.4447621569,1.5045692579,1.5257462363,1.4577424702
0.425,1.1684894944,1.2943321089,1.280968797,1.3047208082,1.4519575837,1.4786143831,1.5024928765,1.3703769761
0.43,1.1652428616,1.2908371005,1.2741211842,1.3069125472,1.4435855912,1.387356364,1.4346948212,1.343728659
0.435,1.1904652163,1.2617418518,1.2815325688,1.3378655298,1.3774786121,1.2863669498,1.4198429718,1.3638567362
0.44,1.1751058889,1.2170874375,1.3155403245,1.4337923895,1.2843264062,1.2898722969,1.4790929922,1.3390629782
0.445,1.1719551097,1.1609767254,1.3066906633,1.5127261694,1.265244801,1.3552799609,1.4598486536,1.275163647
0.45,1.2219601034,1.11534847,1.273254217,1.4940979108,1.2939464525,1.3717634,1.3606535703,1.2430733941
0.455,1.2428764733,1.160291456,1.2651642671,1.4015733039,1.2866737117,1.3030394091,1.3072688857,1.2824779936
0.46,1.1923604991,1.2802328185,1.2978590387,1.2771343635,1.2826455522,1.1924726336,1.2589791326,1.3031715324
0.465,1.1377569257,1.3466359517,1.3343279863,1.1949545902,1.3011151255,1.1221621541,1.2283858587,1.2956295898
0.47,1.068786423,1.3451601956,1.3151389982,1.2064816093,1.3141139046,1.1933316715,1.2679186088,1.3124807161
0.475,1.0372360752,1.3194583292,1.2498042408,1.2162645118,1.3442389797,1.31853785,1.2574210398,1.3432501553
0.48,1.1197415442,1.2745352357,1.2229385343,1.2503092181,1.3174164549,1.4021357689,1.1928969793,1.3640401347
0.485,1.2365235277,1.2185758756,1.2351741793,1.29633506,1.2642138287,1.4488583602,1.1588894587,1.3549761462
0.49,1.3067656362,1.2374104236,1.2920174787,1.2601320243,1.2936558126,1.4173403744,1.2219159053,1.3189732386
0.495,1.3409781691,1.3406306147,1.3349126818,1.1837850044,1.3074157375,1.3351084702,1.2606105343,1.3146735486
0.5,1.3342509639,1.4636055015,1.3066484281,1.1625366311,1.3314249817,1.2932718452,1.2342343679,1.3409221426
0.505,1.2599711151,1.5213927064,1.2393799959,1.2068215395,1.2869631864,1.3421532611,1.2827227501,1.3634156293
0.51,1.1662120816,1.4884527316,1.2144070779,1.2806757201,1.1909396267,1.3501171659,1.3326626628,1.372436028
0.515,1.0691618091,1.3936809675,1.2812629609,1.3406054107,1.1836949815,1.2926320994,1.2909435353,1.2908888863
0.52,1.0691808581,1.3442128914,1.3840756546,1.3350251375,1.2086726251,1.2810724878,1.2457480062,1.176429809
0.525,1.1864560294,1.3218864144,1.409442652,1.2973073404,1.2805295014,1.2830518605,1.2416541097,1.1559337913
0.53,1.2677065142,1.2920774244,1.3470982476,1.2409872319,1.3916523303,1.2923010207,1.2031394782,1.1914127
0.535,1.2780706553,1.2852854399,1.3191757683,1.2317747924,1.4403474707,1.3034938931,1.1678757391,1.2529284084
0.54,1.2191586027,1.2738034059,1.3402340858,1.2941907895,1.4203374193,1.2759104117,1.1729707654,1.2725013756
0.545,1.1574529222,1.2567619382,1.3404787385,1.332265201,1.3716166549,1.2683048557,1.1819267945,1.2723077258
0.55,1.1811035628,1.2868147276,1.311745825,1.3488424987,1.3031664648,1.2756374882,1.153903397,1.340739062
0.555,1.2461889121,1.3115228662,1.3021131757,1.4079018477,1.2913693536,1.2365177183,1.0967958082,1.4130748236
0.56,1.2856899915,1.3082853371,1.2847734788,1.4750134958,1.3245523557,1.2482525333,1.0709903702,1.4393829412
0.565,1.2902027616,1.2893209413,1.3039831112,1.4744916403,1.3273755072,1.3179502244,1.0711769492,1.4251823774
0.57,1.2574980918,1.2478033533,1.3206340117,1.4125128195,1.3307543523,1.3518824506,1.1539197727,1.4223866455
0.575,1.2289378217,1.240643011,1.3251624615,1.3430386552,1.3290762148,1.373209431,1.2385102553,1.4366429546
0.58,1.20541213,1.2959812855,1.3477320238,1.3119394941,1.2865661825,1.4119382768,1.2185562096,1.3992252671
0.585,1.160307971,1.3213907717,1.363034612,1.3095044092,1.2391074129,1.4008720538,1.2055257007,1.3369814338
0.59,1.0753259989,1.3174790343,1.3536127291,1.3041477743,1.1831628725,1.3972505226,1.2485524433,1.3268860391
0.595,1.0870120424,1.288144948,1.3559138771,1.2892716232,1.1309661464,1.4233254271,1.2659851948,1.3248980031
0.6,1.1266299567,1.2208749341,1.3471081448,1.2718319811,1.1536588212,1.4160802391,1.2952582272,1.3638283266
0.605,1.1587972334,1.1930189613,1.2974574938,1.2670284743,1.2276064495,1.340341549,1.3045634288,1.4229551537
0.61,1.227010465,1.2135532082,1.2379023802,1.2669009438,1.2618875532,1.2790644254,1.2861422021,1.3950518292
0.615,1.2574844899,1.2192231899,1.2119222616,1.2778398191,1.2824021066,1.2869889644,1.2310721022,1.3341279935
0.62,1.2443326525,1.2506145794,1.2353962346,1.2823446503,1.260892377,1.3604397524,1.1948889558,1.3289936415
0.625,1.201608254,1.3156929572,1.2991389188,1.2884563848,1.1867356263,1.399867854,1.1985860588,1.3605538406
0.63,1.1413817678,1.3260094683,1.3607134775,1.3308397475,1.1573835372,1.33975978,1.2101135228,1.3984197051
0.635,1.143664397,1.2631963782,1.3995683949,1.3601476322,1.1600995082,1.2789268569,1.2000199365,1.4056127807
0.64,1.2136204945,1.2430623976,1.3668727882,1.3380170371,1.1533842069,1.2474381194,1.1969771782,1.3194164061
0.645,1.2908162731,1.3016967768,1.3485268025,1.3546410966,1.1825089116,1.1806061675,1.2045580387,1.2506698407
0.65,1.3369444949,1.4107475016,1.3603888744,1.3916828175,1.2259092031,1.1327018466,1.2092939496,1.2954402812
0.655,1.3161481926,1.4453315906,1.3406581783,1.393362101,1.198111355,1.1499047789,1.2291711592,1.4117643988
0.66,1.2336727942,1.392683446,1.3227045541,1.3588610185,1.1449911128,1.2096432547,1.2806274908,1.5070691171
0.665,1.154387424,1.3662973391,1.3301687702,1.2980722974,1.0985378219,1.2853415244,1.3148073072,1.4925104042
0.67,1.1306735786,1.3838520061,1.349377792,1.2672175427,1.1142843397,1.2928738093,1.3225917001,1.3684388953
0.675,1.1541704923,1.3818265012,1.3669434134,1.2661682222,1.1912792088,1.2621408146,1.3314394825,1.2855932607
0.68,1.1753427639,1.3461597493,1.3763816872,1.3026885658,1.229294239,1.2870733915,1.2849297665,1.2595894184
